,Medicines,Common_Names
37,Boldo,"Boldo also is known as boldu, boldus, boldoa, and boldea."
38,Boneset,
39,Borage,"Borage is also known as burrage, common bugloss, bee-bread, bee fodder, star flower, ox's tongue, and cool tankard."
40,Boron,"
Borate
Borates
Borax Sodium
Bore
Boric Acid
Boric Anhydride
Boric Tartrate
Boro
Boron
Sodium Borate"
41,Bovine Colostrum,"Bovine colostrum is also known as cow milk colostrum, bovine colostrum immune milk, lactobin, LC2N, BCC (bovine colostrum concentrate), hyperimmune milk, early milk, and lactoferrin."
42,Brahmi,"

Bacopa monniera


Bacopa monnieri


Herpestis monniera


Moniera cuneifolia

Andri
Bacopa
Herb of Grace
Herpestis Herb
Herpestis Monniera
Indian Pennywort
Jal-Brahmi
Jalanimba
Jalnaveri
Nira-Brahmi
Sambrani Chettu
Thyme-Leaved Gratiola
Water Hyssop"
43,Branched-Chain Amino Acids,"
2-Amino-3-Methylvaleric Acid
2-Amino-4-Methylvaleric Acid
BCAA
BCAAs
Branched Chain Amino Acid Therapy
Essential Amino Acids
Isoleucine
Isoleucine Ethyl Ester HCl
L-Isoleucine
L-Leucine
L-Leucine Pyroglutamate
L-Valine
Leucine
Leucine Ethyl Ester HCl
Leucine Isovaleric Acid
Leucine Methyl Ester HCl 
Valine"
44,Brewer's Yeast,"

S. cerevisiae


Saccharomyces cerevisiae

Baker's Yeast
Betafectin
Dried Yeast Fermentate
EpiCor
Fibercel
Medicinal Yeast
Yeast"
45,Bromelain,"

Ananas comosus

Ananas
Bromelaine
Bromelains
Bromelainum
Bromelin
Debridase
Fruit Bromelain
Phlogenzym
Pineapple
Pineapple Enzyme
Pineapple Extract
Plant Protease Concentrate
Protease"
46,Buchu,"Buchu also is known as bookoo, buku, diosma, bucku, and bucco."
47,Bugleweed,"Bitter bugle, bugleweed, carpenter's herb, green archangel, gypsywort, northern bugleweed, Paul's betony, purple archangel, rough bugleweed, sweet bugle, Thyreo-loges N tablets, Virginia water horehound, water bugle, water horehound, wolf foot, wolfstrappkraut
Trade Names
Thyreo-loges N"
