,Medicines,Common_Names
172,Methylsulfonylmethane (MSM),"
Crystalline DMSO
Dimethyl Sulfone MSM
Dimethylsulfone
Diméthylsulfone
DMSO2
Methyl Sulfone
Methyl Sulfonyl Methane
Methyl Sulphonyl Methane
Methylsulfonylmethane
Metilsulfonilmentano
MSM
Méthyle Sulfonyle Méthane
Méthyle Sulphonyle Méthane
Méthylsulfonylméthane
Sulfone de Diméthyle MSM
Sulfone de Méthyle
Sulfonyl Sulfur"
173,Milk Thistle,"

Carduus marianus


Fructus cardui mariae


Fructus silybi mariae


Mariana mariana


Silybum marianum

Blessed Milk Thistle
Bull Thistle
Chardon-Marie
Holy Thistle
Lady's Milk
Lady's Thistle
Marian Thistle
Mary Thistle
Mild Marian Thistle
Our Lady's Thistle
Pternix
Shui Fei Ji
Silberdistil
Silibinin
Silibum
Silybe
Silybin
Silybon
Silybum
Silymarin
Silymarine
St Mary Thistle
St Marys Thistle
St. Mary's Thistle
Thistle
Thistle of the Blessed Virgin"
174,Mistletoe,"Mistletoe, bird lime, all heal, devil's fuge, golden bough, mistel (German), Iscador
Trade Names
Iscador"
175,Muira Puama,"Muira puama is also known as marapuama, potency wood, raiz del macho, and potenzholz."
176,Mullein,"Mullein also is known as American mullein, European or orange mullein, candleflower, candlewick, higtaper and lungwort."
177,Myrrh,"African myrrh ( C. habessinica), Somali Myrrh (C. molmol), Arabian and Yemen myrrh (C. abyssinica), myrrha, myrrhe, gum myrrh, bola, bal, bol, heerabol"
178,Neem,"Neem, margosa, nim, nimba, nimbatiktam, Arishtha, Praneem"
179,Nettles,"

Uritica dioica L.


Uritica dioica


Urtica urens L.


Urtica urens

Bichu
Common Nettles
Feuille d’Ortie
Graine d’Ortie
Grande Ortie
Great Stinging Nettle
Great Stinging Nettles
Nettle
Nettle Leaf
Nettle Seed
Nettle Worth
Ortie
Ortie Brûlante
Ortie des Jardins
Ortie Dioïque
Ortie Méchante
Ortiga
Prostaherb
Prostamon
Small Nettle
Small Nettles
Soii (Kashmiri)
Stinging Nettle
Stinging Nettles
Uritica
Uritica Plus
Urtica dioica
Urtica urens
Urticae Herba et Folium
Urticae Radix
Urtidin"
180,Noni,"Noni is also known as morinda, ach, achi, anino, awltree, bengkudu, bo-aal, caribe te, dilo-K, hag apple, hog apple, ice leaf, Indian mulberry, kura, mengkoedoe, mengkudu, minamaram, Morinda littoralis, mulberry, eagugu, nhau, nui, nho, nhor, prey, nhor, thom, noko, nona, noni, nono, nonu, nuna, oko, pain killer, patje, pemii, riro, ruibarbo, te non, rra, yeiawa harachan, and yo."
181,Oats,"Oats, Hafer (German), ma-karasu-mugi (Japanese), avena (Spanish)"
182,Olive Leaf,Olive leaf also is known as olive leaf extract.
183,Olive Oil,"

Olea europaea

Common Olive
Extra Virgin Olive Oil
Green Olive
Manzanilla Olive Fruit
Monounsaturated Fatty Acid
N-9 Fatty Acid
Olive Fruit
Olive Fruit Pulp
Olive Leaf
Olive Pulp
Olives
Olivio
Omega-9 Fatty Acids
Salad Oil
Sweet Oil
Unsaturated Fatty Acid
Virgin Olive Oil"
184,Onion,"Onion, Bulbus Allii Cepae, common onion, garden onion. Topical commercial preparations include Contractubex and Mederma.
Trade Names
ContractubexMederma"
185,Oregano,"Wild marjoram, mountain mint, Mexican oregano, winter marjoram, wintersweet, kekik (Turkish), and Mediterranean oregano."
186,Pantothenic Acid,"
Acide D-Pantothénique
Acide Pantothénique
Alcool Pantothénylique
Antidermatitis Vitamin
B Complex Vitamin
Calcii Pantothenas
Calcium D-Pantothenate
Calcium Pantothenate
Calcium-Pantothenate
Complexe de Vitamines B
D(+)-alpha-(-dihydroxy-beta,beta-dimethylbutyryl-beta-alanaine)
D-Calcium Pantothenate
D-Panthenol
D-Panthénol
D-Pantothenic Acid
D-Pantothenyl Alcohol
D-Pantothénate de Calcium
Dexpanthenol
Dexpanthenolum
Dexpanthénol
Pantethine
Panthenol
Panthénol
Pantothenate
Pantothenic Acid
Pantothenol
Pantothenylol
Pantothénate
Pantothénate de Calcium
Pantéthine
Vitamin B-5
Vitamin B5
Vitamine B5
Ácido Pantoténico"
187,Papaya,Papaya is also known as pawpaw and melon tree.
188,Parsley,Parsley also is known as rock parsley and garden parsley.
189,Passion Flower,"

Passiflora incarnata

Apricot Vine
Burucuya
Corona de Cristo
Fleischfarbige
Fleur de la Passion
Fleur de Passiflore
Flor de Passion
Granadilla
Granadilla (species with edible fruit)
Grenadille
Herba Passiflorae
Jamaican Honeysuckle
Jamaican Honeysuckle (Passiflora laurifolia)
Madre Selva
Maracuja
Maracuva
Maypop
Maypop Passion Flower
Pasiflora
Pasionari
Pasionaria
Passiflora
Passiflorae Herba
Passiflore
Passiflore Aubépine
Passiflore Officinale
Passiflore Purpurine
Passiflore Rouge
Passiflorina
Passion Flower Herb
Passion Fruit
Passion Vine
Passionaria
Passionblume
Passionflower
Passionflower Herb
Passionsblomma
Passionsblumenkraut
Purple Passion Flower
Purple Passionflower
Water Lemon
Wild Passion Flower
Wild Passion Flower (P. incarnatus)"
190,Pectin,"
Acide Pectinique
Acide Pectique
Apple Pectin
Citrus Pectin
Fruit Pectin
Grapefruit Pectin
Lemon Pectin
MCP
Modified Citrus Pectin
Pectina
Pectine
Pectine de Citron
Pectine de Fruit
Pectine de Pamplemousse
Pectine de Pomme
Pectine d’Agrume
Pectine d’Agrume Modifiée
Pectinic Acid"
191,Pennyroyal,"Pennyroyal also is known as American pennyroyal, squawmint, mosquito plant, and pudding grass."
192,Peppermint,"

Mentha arvensis


Mentha halpocalyx


Mentha lavanduliodora


Mentha x piperita L. Peppermint is a hybrid of Mentha spicata L. (spearmint) and Mentha aquatica L. Family: Lamiaceae (mints)


Mentha x piperita

Black Peppermint
Bo He
Brandy Mint
Chinese Peppermint
Corn Mint
Extract of Mentha Piperita
Extract of Peppermint
Extract of Peppermint Leaves
Extrait de Feuilles de Menthe de Poivrée
Extrait de Mentha Piperita
Extrait de Menthe Poivrée
Field Mint
Herba Menthae
Huile de Mentha Piperita
Huile de Menthe Poivrée
Huile Essentiella de Menthe Poivrée
Lamb Mint
Mentha Lavanduliodora
Mentha Oil
Mentha Piperita
Mentha Piperita Extract
Mentha Piperita Oil
Mentha x piperita
Menthae Piperitae Aetheroleum
Menthae Piperitae Folium
Menthe
Menthe Poivrée
Menthol
Mint
Mint Balm
Oil of Peppermint
Paparaminta
Peppermint Essential Oil
Peppermint Extract
Peppermint Leaf
Peppermint Leaf Extract
Peppermint Oil
Western Peppermint"
193,Periwinkle,"Periwinkle also is known as red periwinkle, Madagascar or Cape periwinkle, old maid, church-flower, ram-goat rose, ""myrtle,"" and magdalena."
194,Peru Balsam,"Peru balsam is also known as balsam of Peru, balsamo blanco, baumier du Perou, Peruvian balsam, Indian balsam, black balsam, and Perubalsambaum."
195,Pineapple,"Pineapple, bromelain, Phlogenzym, Debridase"
196,Plantain,"Plantain also is known as Spanish psyllium, French psyllium, blond plantago, Indian plantago, psyllium seed, flea seed, and black psyllium."
197,Poison Ivy,"

Rhus acutiloba


Rhus radicans


Rhus toxicarium


Rhus toxicodendron


Toxicodendron diversilobum


Toxicodendron pubescens


Toxicodendron quercifolium


Toxicodendron radicans


Toxicodendron rydbergii


Toxicodendron succedaneum


Toxicodendron toxicarium


Toxicodendron vernicifluum


Toxicodendron vernix

Bois de Chien
Chinese Lacquer
Herbe à la Puce
Herbe à Puce
Hiedra Venenosa
Markweed
Poison Dogwood
Poison Elder
Poison Oak
Poison Sumac
Poison Vine
Rhus Radicans
Rhus Tox
Rhus Toxicodendron
Sumac Grimpant
Sumac Vénéneux
Three-Leafed Ivy"
198,Policosanol,"
32-C
Cotricontanol
Dotriacontanol
Heptaconsanol
Hexacosanol
Nonacosanol
Octacosanol
Polycosanol
Tetracosanol
Tetratriacontanol
Triacontanol
Tétracosanol
Tétratraicontanol"
199,Probiotics,"

B. bifidum


Bifidobacterium adolescentis


Bifidobacterium animalis


Bifidobacterium bifidum


Bifidobacterium breve


Bifidobacterium infantis


Bifidobacterium lactis


Bifidobacterium longum


Enterococcus faecium


L. bifidus


Lactobacillus acidophilus


Lactobacillus bifidus


Lactobacillus bulgaricus


Lactobacillus casei


Lactobacillus helveticus


Lactobacillus paracasei


Lactobacillus plantarum


Lactobacillus reuteri


Lactobacillus rhamnosus


Lactobacillus rhamnosus GG

Saccharomyces boulardii


Streptococcus salivarius


Streptococcus thermophilus

Bifidobacteria
Indian Yogurt
Sour Milk
VSL-3
Yogurt"
200,Propolis,"Propolis also is known as Propolis balsam, propolis resin, propolis wax, bee glue, hive dross."
201,Pygeum,"

Prunus africana


Pygeum africanum

African Cherry
African Plum
African Plum Tree
African Prune
African Pygeum
Amande Amère
Ciruelo Africano
Prunier d’Afrique
Prunus africana (Hook. f.) Kalkm
Pygeum Africanus
Red Stinkwood
Rosaceae"
202,Quercetin,"
2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-4H-1-benzopyran-4-one
3, 3′, 4′, 5, 7-pentahydroxy-2-phenylchromen-4-one
3,3',4'5,7-Penthydroxyflavone
Bioflavonoid
Bioflavonoid Complex
Bioflavonoid Concentrate
Bioflavonoid Extract
Bioflavonoids
Bioflavonoïde
Bioflavonoïde de Citron
Bioflavonoïdes de Citron
Citrus Bioflavones
Citrus Bioflavonoid
Citrus Bioflavonoid Extract
Citrus Bioflavonoids
Citrus Flavones
Citrus Flavonoids
Complexe de Bioflavonoïde
Concentré de Bioflavonoïde
Extrait de Bioflavonoïde
Extrait de Bioflavonoïdes de Citron
Flavones de Citron
Flavonoid
Flavonoids
Flavonol
Flavonoïde
Meletin
Mélétine
Pentahydroxyflavone
Quercetin Dihydrate
Quercetina
Quercetine
Quercétine
Sophretin
Sophrétine
Vitamin P"
203,Raspberry,"

Rubus buschii


Rubus idaeus


Rubus occidentalis


Rubus strigosus

Australian Raspberry
Black Raspberry
Bokbunja
Boulder Raspberry
Framboise
Framboise Rouge
Framboisier Rouge
Framboisier Sauvage
Frambusa Roja
Korean Raspberry
Raspberries
Raspberry Ketones
Red Raspberry
Rubi Idaei Folium
Rubus
West Indian Raspberry"
204,Red Clover,"

Trifolium pratense

Bee Bread
Beebread
Clovone
Cow Clover
Creeping Clover
Daidzein
Flos Trifolii
Genistein
Isoflavone
Meadow Clover
Miel des Prés
Phytoestrogen
Purple Clover
Trebol Rojo
Trefoil
Trifolium
Trifolium Pratense
Trèfle Commun
Trèfle des Prés
Trèfle Pourpre
Trèfle Rouge
Trèfle Rougeâtre
Trèfle Violet
Wild Clover"
205,Red Yeast Rice,"

Monascus purpureus

Ang-Khak
Arroz de Levadura Roja
Aspergillaceae
Beni-Koji
Cholestin
Hon-Chi
Hong Qu
Hongqu
Koji
Koji Rouge
Levure de Riz Rouge
Monascus
Monascus Purpureus Went
Red Fermented Rice
Red Mold
Red Rice Koji
Red Rice Yeast
Red Yeast
Red Yeast Rice
Red Yeast Rice Extract
Red-Koji
Riz Rouge
Rotschimmelreis
Xue Zhi Kang
XueZhiKang
XZK
Zhi Tai
Zhibituo
Zhitai"
206,Reishi Mushroom,"Reishi, ling chih, lingzhi (ling zhi), ""spirit plant,"" Ganopoly"
207,Resveratrol,"
(E)- 5-(4-hydroxystyryl)benzene-1,3-diol
3,4',5-Stilbenetriol
3,4',5-Trihydroxystilbene
3,4,5-T
rans-Trihydroxystilbene
3,5,4' -Trihydroxystilbene
3,5,4' TriHydroxy-Transstibene
3,5,4'-Trihydroxy-Trans-Stilbene
3,5,4′-C
is-Trihydroxystilbene
Cis-Resveratrol
Darakchasava
Extrait de Vin
Extrait de Vin Rouge
Japanese Knotweed
Kojo-Kon
Phyto-oestrogène
Phytoalexin
Phytoalexine
Phytoestrogen
Piceatannol (analogue)
Pilule de Vin
Protykin
Red Wine Extract
Resveratrols
Resvératrol
Resvératrols
RSV
RSVL
Stilbene Phytoalexin
Trans-Resveratrol
Trans-Resvératrol
Transresveratrol
Wine Extract
Wine Pill"
208,Rhodiola Rosea,"

Lignum rhodium


Rhodiola roanensis


Rhodiola rosea


Sedum rhodiola


Sedum rosea

Aaron's Rod
Arctic Root
Golden Root
King's Crown
Orpin Rose
Rhodaxon
Rhodiola Roanensis
Rose Root
Rose Root Extract
Rosenroot
Roseroot
Rosewort
Sedum Rosea
SHR-5
Siberian Goldenroot
Siberian Rhodiola Rosea
Snowdown Rose"
209,Rose Hip,"

R. acicularis Lindl.

R. cinnamomea L.

R. rugosa Thunb.

Rosa alba


Rosa canina


Rosa canina L.

Rosa centifolia


Rosa damascena


Rosa gallica


Rosa lutetiana


Rosa pomifera


Rosa provincialis


Rosa rugosa


Rosa villosa

Apothecary Rose
Brier Fruits
Cynorhodon
Cynorhodons
Cynosbatos
Dog Rose (R. canina)
Dog Rose Fruits
Dog Rose Hips
Fruit de l’Églantier
Gulab
Haw
Heps
Hip
Hip Fruit
Hip Sweet
Hipberries
Hipberry
Hips
Hop Fruits
Persian Rose
Phool Gulab
Pink Rose
Poire d’oiseaux
Rosae pseudofructus cum semen
Rose de Provins
Rose des Apothicaires
Rose Haw
Rose Hep
Rose Hip Seeds
Rose Hips
Rose Rouge de Lancaster
Rosehip
RoseHip Seed
Rosehips
Rosier de Provence
Satapatri
Satapatrika
Shatpari
Wild Boar Fruits
Églantier"
210,Rosemary,Rosemary also is known as old man.
211,Royal Jelly,Royal jelly
212,Safflower,"

Carthamus tinctorius

Alazor
American Saffron
Bastard Saffron
Dyer's Saffron
Fake Saffron
False Saffron
Gami-Honghwain
Hing Hua
Hong Hua
Safflower Nut Oil
Safflower Oil
Zaffer
Zafran"
213,Saffron,
214,SAMe,"
ADE-SD4
Ademetionine
Adenosylmethionine
Adomet
S-Adenosyl Methionine
S-Adenosyl-L-Methionine
S-Adenosylmethionine
S-Adenosylmethionine Butanedisulfonate
S-Adenosylmethionine Tosylate Disulfate
S-Adénosylméthionine
SAdenosylmethionine Tosylate
SAM
SAM-e
Samesadenosylmethionine
Sammy"
215,Sandalwood,"Sandalwood is also known as santal oil, white saunders oil, white or yellow sandalwood oil, and East Indian sandalwood oil."
216,Sarsaparilla,"Sarsaparilla also is known as Ba Qia catbrier, greenbrier, smilax, smilace, sarsa, Jin Gang Teng, Rhizoma Smilacis Glabrae, zarzaparilla, and khao yen."
217,Sarsparilla,"Sarsaparilla also is known as smilax, smilace, sarsa, and khao yen.
Efficacy-safety rating:
ÒÒ...Ethno or other evidence of efficacy.
Safety rating:
●...Little exposure or very minor concerns.
What is Sarsparilla?



Sarsaparilla is a woody, trailing vine, which is grown in the Mexico, Honduras, Jamaica, and Ecuador. Many Smilax species are very similar in appearance regardless of origin. The root of the plant is used for medicinal purposes. This root has a pleasant fragrance and spicy sweet taste, and has been used as a natural flavoring agent in medicines, foods, and non-alcoholic beverages. It should not be confused with the sassafras tree, which has the distinctive flavoring of American root beer.
What is it used for?
Traditional/Ethnobotanical uses
The French physician Nicholas Monardes described using sarsaparilla to treat syphilis in 1574. In 1812, Portuguese soldiers suffering from syphilis recovered faster if sarsaparilla was taken to treat the disease instead of mercury, the standard treatment at the time. Sarsaparilla has been used by many cultures for other ailments as well, including skin problems, arthritis, fever, digestive disorders, leprosy, and cancer. Late 15th century accounts explaining the identification and the first descriptions of American drugs include sarsaparilla. Sarsaparilla's role as a medicinal plant in American and European remedies in the 16th century also is evident.
Sarsaparilla has been used for treating syphilis and other sexually transmitted diseases (STDs) throughout the world for 40 years. It has been used for psoriasis, and was documented as an adjuvant for leprosy treatment in 1959.
Miscellaneous uses
The ability of sarsaparilla to bind to endotoxins may be a possible mechanism of action as to how the plant exerts its effects. Problems associated with high endotoxin levels circulating in the blood stream such as liver disease, psoriasis, fevers, and inflammatory processes, all seem to improve with sarsaparilla. Research reveals no clinical data regarding the use of sarsaparilla for anti-inflammatory effects. A recent review addresses smilax compounds present in bodybuilding supplements said to “enhance performance.” Results of the study of more than 600 commercially available supplements determined that there was no research to validate these claims.
What is the recommended dosage?
Typical doses of sarsaparilla for a variety of uses range from 0.3 to 2 g/day of the powdered root.
How safe is it?
Contraindications
Contraindications have not yet been identified.
Pregnancy/nursing
Information regarding safety and efficacy in pregnancy and lactation is lacking.
Interactions
None well documented.
Side Effects
No major contraindications, warnings, or side effects have been documented. Avoid excessive ingestion. In unusually high doses, the plant may be harmful, including GI irritation.
Toxicities
Research reveals little or no information regarding toxicology with the use of sarsaparilla.
References


Sarsaparilla. Review of Natural Products. factsandcomparisons4.0 [online]. 2005. Available from Wolters Kluwer Health, Inc. Accessed April 23, 2007.


Copyright © 2009 Wolters Kluwer HealthFurther informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer"
218,Sassafras,"Sassafras also is known as saxifras, ague tree, cinnamon wood, and saloop."
219,Saw Palmetto,"

Brahea serrulata


Corypha repens


Sabal serrulata


Sabal serrulatum


Serenoa repens


Serenoa repens (W. Bartram) Small

Serenoa serrulata


Serenoa serrulata (Michx) G. Nicholson

Chamaerops serrulata Michx
American Dwarf Palm Tree
Baies du Chou Palmiste
Baies du Palmier Scie
Cabbage Palm
Chou Palmiste
Dwarf Palmetto
Fan Palm
Fructus Serenoae Repentis
Ju-Zhong
Palma Enana Americana
Palmier de Floride
Palmier Nain
Palmier Nain Américain
Palmier Scie
Palmiste
Sabal
Sabal Fructus
Sabal Palm
Saw Palmetto Berry
Scrub Palm
Scrub Palmetto
Serenoa"
220,Schisandra,"

Kadsura chinensis


Kansura chinensis


Maximoviczia amurensis


Maximoviczia chinensis


Schisandra arisanensis


Schisandra chinensis var. rubriflora


Schisandra chinensis


Schisandra chinensis (Turcz.) Baillon

Schisandra rubiflora Franch

Schisandra rubriflora


Schisandra Sinensis


Schisandra sphaerandra


Schisandra sphenanthera


Schisandra sphenanthera Rehd.

Sphaerostemma japonica


Sphaerostemma japonicum


Schisandra arisanensis Hayata
Bac Ngu Vi Tu
Baie de Schisandra
Bei Wu Wei Zi
Beiwuweizi
Chinese Mongolavine
Chinese Schizandra
Chinesischer Limonenbaum
Chosen-Gomischi
Five Flavor Fruit
Five Flavor Seed
Five-Flavor-Fruit
Fructus Schisandrae
Fructus Schisandrae Chinensis
Fruit aux Cinq Saveurs
Gomishi
Hoku-Gomishi
Hoy Tsi
Ji-Chu
Kadsura chinensis
Kita-Gomishi
Limonnik
Limonnik Kitajskjj
M Mei Gee
Magnolia Vine
Matsbouza
Maximowich's Red Grape
Mei Gee
Nanwuweizi
Ngu Mei Gee
Northern Schisandra
Omicha
Omiza
Schisandra Berry
Schisandra Sinensis
Schizandra
Schizandra Chinensis
Schizandre Fructus
Southern Schisandra
Western Shisandra
Wu Wei Zi
Wu-Wei-Zu
Wuhzi
Xiwuweizi"
221,Scullcap,"Scullcap also is known as skullcap, helmetflower, hoodwort, and mad-dog weed."
222,Seaweed,"Seaweed is also known as brown seaweed, red seaweed, algae, kelp, egg wrack, kombu/konbu, sea spaghetti, wakame, nori, dulse/dillisk, sea lettuce, sea grass, carrageenin, and Irish moss."
223,Senna,"

Cassia acutifolia


Cassia angustifolia


Cassia lanceolata


Cassia senna


Senna alexandrina

Alexandrian Senna
Alexandrinische Senna
Casse
Cassia Senna
Fan Xie Ye
Indian Senna
Khartoum Senna
Sen
Sena Alejandrina
Senna Alexandrina
Sennae Folium
Sennae Fructus
Sennosides
Séne d’Inde
Séné
Séné d'Alexandrie
Séné d'Egypte
Séné de Tinnevelly
Tinnevelly Senna
True Senna"
224,Serrapeptase,"
Antiflazym
Butterfly Enzyme
Danzen
Enzyme de Ver de Soie
Extrait de Ver de Soie
SER
Serapeptase
Serodase
Serralysin
Serrapeptasa
Serrapeptasi
Serrapeptidase
Serratia E-15
Serratia Extracellular Proteinase
Serratia Peptidase
Serratiaprotease
Serratiopeptidase
Silk Worm Enzyme
Silkworm Extract"
225,Shark Derivatives,
226,Shark Liver Oil,
227,Slippery Elm,"Slippery elm also is known as red elm, Indian elm, moose elm, and sweet elm."
228,SOD,
229,Soy,"

Dolichos soja


Glycine gracilis


Glycine hispida


Glycine max


Glycine soja


Phaseolus max


Soja hispida


Soja max

Cosse de Soja
Cosse de Soya
Daidzein
Daidzéine
Edamame
Estrogène Végétal
Fermented Soy
Fibre de Soja
Fibre de Soya
Frijol de Soya
Fève de Soja
Fève de Soya
Genestein
Genistein
Génistéine
Haba Soya
Haricot de Soja
Haricot de Soya
Hydrolyzed Soy Protein
Isoflavone
Isoflavone de Soja
Isoflavone de Soya
Isoflavones
Isolated Soy Protein
Isolated Soybean Protein
Lait de Soja
Lait de Soya
Legume
Miso
Natto
Phaseolus max
Phytoestrogen
Plant Estrogen
Protéine de Haricot de Soja Isolée
Protéine de Haricot de Soya Isolée
Protéine de Soja
Protéine de Soja Isolée
Protéine de Soya
Protéine de Soya Isolée
Shoyu
Soja
Soja Fermenté
Soja hispida
Soja max
Sojabohne
Soy Bean
Soy Fiber
Soy Germ
Soy Isoflavones
Soy Milk
Soy Protein
Soy Protein Isolate
Soya
Soya Bean
Soya Fermenté
Soybean
Soybean Curd
Soybean Isoflavones
Tempeh
Texturized Vegetable Protein
Tofu
Touchi"
230,Spirulina,"

Anabaena species


Aphanizomenon flos-aquae


Arthrospira maxima


Arthrospira platensis


Lyngbya wollei


Microcystis aeruginosa


Microcystis wesenbergii


Nostoc ellipsosporum


Spirulina fusiformis


Spirulina maxima


Spirulina pacifica


Spirulina platensis

AFA
Algae
Algas Verdiazul
Algues BleuVert
Algues BleuVert du Lac Klamath
Anabaena
Aphanizomenon flosaquae
Arthrospira fusiformis
Arthrospira maxima
Arthrospira platensis
BGA
Blue Green Algae
Blue Green Algas
Blue Green Micro-Algae
Cyanobacteria
Cyanobactérie
Cyanophycée
Dihe
Espirulina
Hawaiian Spirulina
Klamath
Klamath Blue/Green Algae
Klamath Lake Algae
Lyngbya wollei
Microcystis aeruginosa and other Microcystis species
Nostoc ellipsosporum
SBGA
SF
Spirulina Blue-Green Algae
Spirulina fusiformis
Spirulina maxima
Spirulina platensis
Spiruline
Spiruline d'Hawaii
Tecuitlatl"
231,St. John's Wort,"

Hypericum perforatum


Hypericum

Amber
Amber Touch-and-Heal
Barbe de Saint-Jean
Chase-Devil
Chasse-diable
Demon Chaser
Esbericum
Fuga Daemonum
Goatweed
Hardhay
Herbe Aux Fées
Herbe Aux Mille Vertus
Herbe Aux Piqûres
Herbe de la Saint-Jean
Herbe de Saint Éloi
Herbe du Charpentier
Herbe Percée
Herbe à la Brûlure
Herbe à Mille Trous
Hierba de San Juan
Hypereikon
Hyperforat
Hyperici Herba
Hyperiforce
John's Wort
Kira
Klamath Weed
LI 160
Millepertuis
Neuroplant
Psychotonin
Rosin Rose
Saynt Johannes Wort
Sedariston
SJW
St John Wort
St John's Wort
St. John Wort
St. John's Wort
STEI 300
Tipton Weed
Tipton's Weed
WS 5573
Ze 117"
232,Stevia,"Stevia also is known as Sweet Leaf of Paraguay, Caa-he-é, Ca-a-yupi, Eira-caa, and Capim doce."
233,Sweet Wormwood,"

Artemisia annua

Absinth
Absinthe
Absinthe Sauvage
Absinthe Suisse
Absinthii Herba
Absinthites
Absinthium
Ajenjo
Alvine
Annual Mugwort
Annual Wormwood
Armoise
Armoise Amère
Armoise Commune
Armoise Vulgaire
Artemether
Artemisae
Artemisia
Artemisia absinthium
Artemisinin
Artemotil
Artesian
Artesunate
Chinese Wormwood
Ching-Hao
Common Wormwood
Grande Absinthe
Green Ginger
Herba
Herbe aux Vers
Herbe d'Absinthe
Herbe Sainte
Huang Hua Guo
Indhana
Lapsent
Menu Alvine
Mugwort
Qing Hao
Qinghaosu
Quinghao
Sweet Annie
Sweet Sagewort
Vilayati Afsanteen
Wermut
Wermutkraut
Western Wormwood
Wormweed
Wurmkraut"
234,Taheebo,"Taheebo is also known as Pau d'Arco, Lapacho morado, Lapacho colorado, and Ipé Roxo."
235,Taurine,"
2-Aminoethane Sulfonic Acid
2-Aminoethanesulfonic Acid
2-Aminoethylsulfonic Acid
Acid Aminoethanesulfonate
Acide Aminoéthylsulfonique
Acide Kétoisocaproïque de Taurine
Aminoethanesulfonate
Aminoéthylsulfonique
Bos Taurus
L-Taurine
Tau
Taurina
Taurine Ethyl Ester
Taurine Ketoisocaproic Acid
Éthyl Ester de Taurine"
236,Tea Tree Oil,"

Melaleuca alternifolia

Australian Tea Tree Oil
Melaleuca Oil
Oil of Melaleuca
Tea Tree
Tea Tree Essential Oil"
237,Turmeric,"

Curcuma aromatica


Curcuma domestica


Curcuma longa

Curcuma
Curcumae longae rhizoma
Curcumin
Curcumine
Curcuminoid
Curcuminoide
Curcuminoids
Curcuminoïde
Curcuminoïdes
Halada
Haldi
Haridra
Indian Saffron
Nisha
Pian Jiang Huang
Racine de curcuma
Radix curcumae
Rajani
Rhizoma cucurmae longae
Safran Bourbon
Safran de batallita
Safran des indes
Turmeric Root
Yu Jin"
238,Tylophora,"
Ananthamul
Antomul
Asclepias asthmatica
Country Ipecacuanha
Cynanchum indicum
Emetic Swallowwort
Indian Ipecac
Indian Ipecacuanha
Tylophora asthmatica
Tylophora indica"
239,Tyrosine,"
2-Amino-3-(4-Hydroxyphenyl) Propionic Acid
2-­Acetylamino-­3-­(4­-Hydroxyphenyl)-­Propanoic Acid
4-hydroxyphenylalanine
Acetyl-L-Tyrosine
Acétyl­-L­-Tyrosine
C9H11NO3

L-Tyrosine
N-Acetyl-L-Tyrosine
N-Acetyl-Tyrosine
N-Acétyl­-Tyrosine
N­-Acétyl L-­Tyrosine
Tirosina
Tyr
Tyrosinium"
240,Ubiquinone,"

Coenzyme Q-10

Adelir
Coenzyme Q10
Coenzyme Q10

CoQ10
Heartcin
Inokiton
Mitoquinone
Neuquinone
Taidecanone
Ubidecarenone
Ubiquinol
Ubiquinone-10
Udekinon"
241,Uva Ursi,"

Arbutus uva ursi


Arctostaphylos adenotricha


Arctostaphylos coactylis


Arctostaphylos media


Arctostaphylos officinalis


Arctostaphylos procumbens


Arctostaphylos uva ursi


Arctostaphylos uva-ursi


Mairania uva-ursi


Uva-ursi buxifolia


Uva-ursi procumbens


Uvae ursi folium

Achelblätter
Achelkraut
Arberries
Arberry
Arbousier
Arbousier Traînant
Arbutus Uva-Ursi
Arctostaphylos
Arctostaphylos uva ursi (L.) Sprenge folium
Bear Berries
Bear Berry
Bear's Grape
Bearberries
Bearberry
Beargrape
Beredruif
Berry Leaves
Brockberry
Busserole
Bärenkraut
Bärentraube
Bärentraubenblätter
Common Bearberries
Common Bearberry
Coralillo
Crowberry
Dogberry
Enab Edhdhib
Faux Buis
Feuille de Busserole
Feuille de Raisin D'ours
Folia Artostaphyli
Folia Garjubae
Folia Uvae-Ursi
Folia Vaccinil Ursi
Foxberry
Gayuba
Herba Garjubae
Hog Cranberry
Hogberries
Hogberry
Hojas de Gayuba
Kinnikinnick
Leesikas
Lisc Maçznicy
Manzanita
Mealyberry
Medvescölölevel
Moosebeerenblätter
Mountain Box
Mountain Cranberries
Mountain Cranberry
Petit Buis
Pinemat Manzanita
Ptarmigan Berry
Raisin D'ours
Raisin de Renard
Raisin d’Ours Commun
Red Bearberries
Red Bearberry
Redberries
Redberry
Rockberries
Rockberry
Sagackhomi
Sagochomi
Sandberries
Sandberry
Sandblätter
Upland Cranberry
Uva del Oso
Uva Ursi Extract
Uvae Ursi Folium
Uvaursina
Uwaurushi
Wolfsbeerenblätter"
